ano,id_candidato_bd,despesas_campanha
2022,1220919,705744.33
2022,153642,360999.99999999994
2022,1790376,8200
2022,153884,200000.00000000003
2022,1794444,125885.84999999999
2022,433836,50989
2022,383716,750
2022,1619035,72999.89
2022,44890,30000
2022,751440,34086
2022,1542214,1799442.7599999977
2022,170972,369993.50000000006
2022,625521,832900.0000000007
2022,230495,378154.20999999996
2022,1777708,626189.75
2022,562059,128411
2022,608542,225000
2022,570109,24968.300000000003
2022,494536,25000
2022,318696,25000
2022,922183,99927
2022,1629352,1300000
2022,706609,30000
2022,518663,1332991.9499999997
2022,1638609,100000
2022,742580,599999.9999999986
2022,1511581,149853.01
2022,385148,50000
2022,1701447,199961
2022,1572908,102078
2022,781056,1080896.4600000002
2022,1430152,250536.19999999995
2022,488582,30961
2022,446824,99875
2022,610773,44922
2022,470471,21938
2022,1207684,2000
2022,1206341,15000.26
2022,692786,35000
2022,427623,20000
2022,242563,44998.350000000006
2022,284827,34976.5
2022,861344,19950
2022,512367,1047836.6900000005
2022,1632002,380000
2022,1130346,1733060.1500000004
2022,589392,522000
2022,568581,261089.67999999993
2022,1589405,25900.35
2022,381669,9000
2022,1808280,105000
2022,440273,28767.960000000003
2022,1210410,447549.92999999993
2022,1491874,298383.41000000003
2022,1313756,234192
2022,574901,249936.06
2022,559815,4200
2022,119575,611.4
2022,507539,3489.41
2022,477549,94351
2022,719078,9982.01
2022,734528,9999.249999999998
2022,793028,60032
2022,973755,9593.89
2022,647801,10000
2022,208437,13000
2022,338479,6000
2022,1226434,3000
2022,30050,61888.36
2022,252375,2560955.3700000118
2022,656357,1025642.6699999999
2022,370174,2556267.2500000005
2022,840861,2563976.35
2022,980241,2793221.71
2022,646442,2561000
2022,1226514,2567746.33
2022,320561,2585026.6100000003
2022,663804,199999.9
2022,1552557,55000
2022,429329,100818.69999999998
2022,1557994,29951.199999999997
2022,1553179,39995.25
2022,472795,72512.02
2022,150216,54243.020000000004
2022,26489,54863.02
2022,242851,1500
2022,141618,3000
