ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos
2022,GO,283286,Marcia Rosa,DC,deputado federal,feminino,branca,nao eleito,77
2022,MT,295140,Missionária Cleide Guerra,DC,deputado federal,feminino,amarela,nao eleito,543
2022,RJ,297050,Dom Serra,DC,deputado federal,masculino,preta,nao eleito,222
2022,PE,303807,Baxinha Barão,DC,deputado federal,masculino,parda,nao eleito,99
2022,PE,308600,Egre Guerra,DC,deputado federal,feminino,parda,nao eleito,29
2022,SP,317876,Edivaldo Correia,DC,deputado federal,masculino,branca,nao eleito,202
2022,RR,321555,Denis Alcantara,DC,deputado federal,masculino,parda,nao eleito,247
2022,PR,352065,Coronel Lee,DC,deputado federal,masculino,amarela,nao eleito,24054
2022,PR,363951,Marcos Superti,DC,deputado federal,masculino,branca,nao eleito,606
2022,RJ,364059,Professora Sônia,DC,deputado federal,feminino,branca,nao eleito,187
2022,RJ,388042,Fábio Manaus,DC,deputado federal,masculino,parda,nao eleito,897
2022,PE,389835,Irmão Da Kombi,DC,deputado federal,masculino,parda,nao eleito,452
2022,PR,395314,Lili Maino,DC,deputado federal,feminino,branca,nao eleito,145
2022,RJ,401825,Psicóloga Maria Luiza,DC,deputado federal,feminino,branca,nao eleito,151
2022,RS,407076,Cristiane Severo,DC,deputado federal,feminino,branca,nao eleito,98
2022,TO,416049,Rogério Lunas,DC,deputado federal,masculino,parda,nao eleito,22
2022,PR,416960,Sandra Riesemberg Marques,DC,deputado federal,feminino,branca,nao eleito,98
2022,RJ,434416,Zico Pqd,DC,deputado federal,masculino,branca,nao eleito,758
2022,RJ,449757,Celso Campista,DC,deputado federal,masculino,parda,nao eleito,407
2022,PR,451989,Pastor José Alves,DC,deputado federal,masculino,branca,nao eleito,339
2022,SP,459293,Soldado José Augusto,DC,deputado federal,masculino,preta,nao eleito,499
2022,MA,459570,Samuel Calacio,DC,deputado federal,masculino,branca,nao eleito,33
2022,RR,459847,Carlos Koelho,DC,deputado federal,masculino,parda,nao eleito,229
2022,AM,467302,Renato Alencar,DC,deputado federal,masculino,parda,nao eleito,127
2022,RR,471445,Marlene Lopes,DC,deputado federal,feminino,branca,nao eleito,68
2022,RS,475860,Edison Junior,DC,deputado federal,masculino,branca,nao eleito,85
2022,RJ,492124,Rosi Nascimento,DC,deputado federal,feminino,preta,nao eleito,158
2022,BA,517193,Claudionor Basilio,DC,deputado federal,masculino,parda,nao eleito,530
2022,AM,519326,Cicero Alencar,DC,deputado federal,masculino,parda,nao eleito,743
2022,AM,527172,Jefferson Brasil Cante,DC,deputado federal,masculino,parda,nao eleito,217
2022,ES,532323,Silvestre Soares,DC,deputado federal,masculino,preta,nao eleito,298
2022,BA,532625,Neiva Guerra,DC,deputado federal,feminino,preta,nao eleito,212
2022,AM,559815,Cimara Cavalcante,DC,deputado federal,feminino,parda,nao eleito,411
2022,DF,566639,Ivone Lopes,DC,deputado federal,feminino,preta,nao eleito,244
2022,MT,571436,Kenia Oliveira,DC,deputado federal,feminino,parda,nao eleito,5
2022,SE,572370,Severo Dacelino,DC,deputado federal,masculino,preta,nao eleito,174
2022,MA,588970,Zita Pontes,DC,deputado federal,feminino,branca,nao eleito,338
2022,PR,600931,Paulo Marcos Orozimbo,DC,deputado federal,masculino,preta,nao eleito,276
2022,PR,620342,Ademir Galdino,DC,deputado federal,masculino,branca,nao eleito,101
